FlyerData[B2B_Discount_Percentage],FlyerData[B2B_Savings_Amount],FlyerData[Consumer_Discount_Percentage],FlyerData[Consumer_Savings_Amount],FlyerData[Deal_Badge],FlyerData[Deal_Rating],FlyerData[Price_Display],FlyerData[Savings_Display],FlyerData[Total_B2B_Savings],FlyerData[Avg_B2B_Discount],FlyerData[Avg_Savings_Per_Tire],FlyerData[Best_Deals_Count],FlyerData[Total_Items_Available],FlyerData[OnSale],FlyerData[Item],FlyerData[Model],FlyerData[SLP],FlyerData[Net],FlyerData[SalePrice],FlyerData[AvailableQuantity],FlyerData[Hot_Deals_Count],FlyerData[Brand_Logo_URL],FlyerData[Manufacturer],FlyerData[Size],FlyerData[StrippedSize],FlyerData[TypeDescription],FlyerData[IsWinterTire]
-1,-4,0,-300,,1,$300,,-18,-1,-4,0,1,Yes,110140669,ADVAN SPORT A/S+,0,295,300,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,275/35R20,2753520,Passenger,False
3,8,43,169,,1,$223 (reg $231),Save $8 per tire!,32,3,8,0,1,Yes,15508770000,PureContact LS,392,231,223,4,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,235/50R18,2355018,Passenger,False
2,6,0,-256,,1,$256 (reg $262),Save $6 per tire!,22,2,6,0,1,Yes,04505170000,Grabber HTS60,0,262,256,4,0,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/General_Tire_logo.svg/1280px-General_Tire_logo.svg.png,GENERAL,LT265/70R17,2657017,Light Truck,False
9,24,0,-250,,1,$250 (reg $274),Save $24 per tire!,97,9,24,0,1,Yes,110101680,Geolandar A/T G015,0,274,250,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,LT245/65R17,2456517,ALL WEATHER LT,False
24,110,0,-352,⭐ GOOD DEAL,3,$352 (reg $462),Save $110 per tire!,439,24,110,0,1,Yes,110116035,GEOLANDAR X-AT,0,462,352,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,33X12.50R20,33125020,Passenger,False
2,5,44,168,,1,$213 (reg $217),Save $5 per tire!,18,2,5,0,1,Yes,15502560000,GRABBER ARCTIC,381,217,213,4,0,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/General_Tire_logo.svg/1280px-General_Tire_logo.svg.png,GENERAL,255/55R18,2555518,Passenger - Winter,True
11,19,0,-152,💵 ON SALE,2,$152 (reg $171),Save $19 per tire!,75,11,19,0,1,Yes,110105812,GEOLANDAR CV G058,0,171,152,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,215/65R17,2156517,Passenger,False
9,21,0,-213,,1,$213 (reg $234),Save $21 per tire!,83,9,21,0,1,Yes,110101625,Geolandar A/T G015,0,234,213,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,31X10.50R15,31105015,ALL WEATHER PASSENGER,False
33,162,0,-327,💰 GREAT DEAL,4,$327 (reg $489),Save $162 per tire!,646,33,162,1,1,Yes,110116024,GEOLANDAR X-AT,0,489,327,4,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,LT305/55R20,3055520,Light Truck,False
49,271,65,530,🔥 HUGE SAVINGS,5,$285 (reg $556),Save $271 per tire!,1085,49,271,1,1,Yes,3002335,DL12,815,556,285,4,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hankook_Logo_2024.svg/2560px-Hankook_Logo_2024.svg.png,HANKOOK,11R22.5 14PR,1122514,Medium Truck,False
